t, hrl, hpl, kl, wl, hrl_fb, hpl_fb, kl_fb, wl_fb
0.456,0.0463382,0.417349,-0.347291,0,0.0532121,0.377828,-0.589172,-0.334048
0.458,0.0463382,0.417349,-0.347291,0,0.053208,0.378175,-0.588977,-0.33379
0.46,0.0463382,0.417349,-0.347291,0,0.0532038,0.378519,-0.588785,-0.333503
0.462,0.0406366,0.421042,-0.341801,0,0.0531995,0.378858,-0.588597,-0.333187
0.464,0.0406366,0.421042,-0.341801,0,0.0531945,0.37919,-0.588412,-0.332827
0.466,0.0406366,0.421042,-0.341801,0,0.0531882,0.379515,-0.588229,-0.332409
0.468,0.0406366,0.421042,-0.341801,0,0.0531807,0.379831,-0.588048,-0.331934
0.47,0.0406366,0.421042,-0.341801,0,0.0531721,0.380139,-0.58787,-0.331404
0.472,0.0406366,0.421042,-0.341801,0,0.0531624,0.380439,-0.587694,-0.330819
0.474,0.0406366,0.421042,-0.341801,0,0.0531517,0.38073,-0.587519,-0.330182
0.476,0.0406366,0.421042,-0.341801,0,0.0531399,0.381012,-0.587346,-0.329492
0.478,0.0406366,0.421042,-0.341801,0,0.0531273,0.381286,-0.587175,-0.32875
0.48,0.0406366,0.421042,-0.341801,0,0.0531137,0.38155,-0.587006,-0.327958
0.482,0.0344725,0.422332,-0.335129,0,0.0530993,0.381806,-0.586838,-0.327117
0.484,0.0344725,0.422332,-0.335129,0,0.0530838,0.382045,-0.586668,-0.326211
0.486,0.0344725,0.422332,-0.335129,0,0.0530669,0.382261,-0.586494,-0.325229
0.488,0.0344725,0.422332,-0.335129,0,0.0530485,0.382456,-0.586317,-0.324172
0.49,0.0344725,0.422332,-0.335129,0,0.0530285,0.382634,-0.586135,-0.323042
0.492,0.0344725,0.422332,-0.335129,0,0.0530069,0.382797,-0.585951,-0.32184
0.494,0.0344725,0.422332,-0.335129,0,0.0529835,0.382948,-0.585763,-0.320569
0.496,0.0344725,0.422332,-0.335129,0,0.0529585,0.383089,-0.585573,-0.31923
0.498,0.0344725,0.422332,-0.335129,0,0.052932,0.38322,-0.58538,-0.317823
0.5,0.0344725,0.422332,-0.335129,0,0.052904,0.383344,-0.585185,-0.31635
0.502,0.0290656,0.420191,-0.327898,0,0.052875,0.383461,-0.584987,-0.314812
